	count	F	f_count	f_perc	fpi
0	40	2	19	47.5	0.8556100906648252
1	0	0	0		
2	108	2	46	42.592592592592595	0.5693656456701377
3	305	1	114	37.37704918032787	0.25546118612899293
4	81	2	33	40.74074074074074	0.45943161863729726
5	64	0	26	40.625	0.4525122046975067
6	11	0	8	72.72727272727273	2.415037499278844
7	24	1	9	37.5	0.2630344058337938
8	64	1	28	43.75	0.6374299206152918
9	4	0	4	100.0	3.0
10	56	1	27	48.214285714285715	0.8969065070358964
11	141	2	51	36.17021276595745	0.18057224564182084
12	90	0	41	45.55555555555556	0.7428421605028755
13	1232	2	467	37.90584415584416	0.2879628021296479
14	7	0	3	42.857142857142854	0.5849625007211562
15	912	1	338	37.06140350877193	0.23597250960649663
16	0	0	0		
17	4	1	2	50.0	1.0
18	89	0	32	35.95505617977528	0.16710998583525824
19	81	0	32	39.50617283950617	0.38529015588479165
20	41	0	15	36.58536585365854	0.20645087746742624
21	13	1	5	38.46153846153847	0.32192809488736235
22	0	0	0		
23	7	0	5	71.42857142857143	2.321928094887362
24	5	0	3	60.0	1.584962500721156
25	24	1	11	45.83333333333333	0.7589919004962051
26	12	1	5	41.66666666666667	0.5145731728297582
27	189	0	75	39.682539682539684	0.3959286763311393
28	23	1	11	47.82608695652174	0.874469117916141
29	12	0	6	50.0	1.0
30	1	1	1	100.0	1.0
31	33	0	14	42.42424242424242	0.5594274086140185
32	52	0	20	38.46153846153847	0.32192809488736235
33	40	1	20	50.0	1.0
34	5	0	2	40.0	0.4150374992788437
35	14	2	7	50.0	1.0
36	25	1	12	48.0	0.8845227825800641
37	183	2	66	36.0655737704918	0.1740293997750489
38	28	0	10	35.714285714285715	0.15200309344505006
39	23	1	10	43.47826086956522	0.6214883767462702
40	8	0	5	62.5	1.736965594166206
41	247	1	87	35.22267206477733	0.12101540096136584
42	11	2	5	45.45454545454545	0.7369655941662062
43	84	1	33	39.285714285714285	0.3719687773869579
44	3	2	2	66.66666666666666	2.0
45	20	2	9	45.0	0.7104933828050152
46	14	1	5	35.714285714285715	0.15200309344505006
47	42	1	17	40.476190476190474	0.44360665147561484
48	8	0	3	37.5	0.2630344058337938
49	151	0	55	36.423841059602644	0.1963972128035033
50	103	1	43	41.74757281553398	0.5193741590935794
51	2	0	1	50.0	1.0
52	234	0	86	36.75213675213676	0.21681138907314804
53	40	2	16	40.0	0.4150374992788437
54	38	1	18	47.368421052631575	0.84799690655495
55	10	1	5	50.0	1.0
56	2	2	2	100.0	2.0
57	206	0	79	38.349514563106794	0.31509606140493707
58	140	0	52	37.142857142857146	0.24100809950379498
59	20	1	10	50.0	1.0
60	7	1	3	42.857142857142854	0.5849625007211562
61	3	0	2	66.66666666666666	2.0
62	17	1	7	41.17647058823529	0.48542682717024166
63	34	0	12	35.294117647058826	0.12553088208385882
64	34	2	14	41.17647058823529	0.48542682717024166
65	32	0	13	40.625	0.4525122046975067
66	29	1	11	37.93103448275862	0.28950661719498505
67	342	0	120	35.08771929824561	0.11247472925841266
68	14	1	6	42.857142857142854	0.5849625007211562
69	7	1	3	42.857142857142854	0.5849625007211562
70	4	2	2	50.0	1.0
71	24	2	13	54.166666666666664	1.2410080995037949
72	65	0	28	43.07692307692308	0.5979015564286543
73	2	1	1	50.0	1.0
74	14	1	9	64.28571428571429	1.84799690655495
75	3	1	2	66.66666666666666	2.0
76	161	0	66	40.993788819875775	0.4745385110275057
77	3	0	2	66.66666666666666	2.0
78	8	1	5	62.5	1.736965594166206
79	51	0	21	41.17647058823529	0.48542682717024166
80	6	0	2	33.33333333333333	0.0
81	18	1	8	44.44444444444444	0.6780719051126377
82	63	0	27	42.857142857142854	0.5849625007211562
83	14	2	7	50.0	1.0
84	49	1	17	34.69387755102041	0.0874628412503394
85	377	1	151	40.05305039787798	0.41822577690989127
86	17	2	9	52.94117647058824	1.1699250014423124
87	83	1	30	36.144578313253014	0.17897014104531933
88	221	0	80	36.199095022624434	0.18237674248856892
89	3	0	1	33.33333333333333	0.0
90	3	0	2	66.66666666666666	2.0
91	91	0	39	42.857142857142854	0.5849625007211562
92	44	0	19	43.18181818181818	0.6040713236688608
93	54	1	19	35.18518518518518	0.11864449649861893
94	72	0	28	38.88888888888889	0.3479233034203068
95	20	2	8	40.0	0.4150374992788437
96	21	0	9	42.857142857142854	0.5849625007211562
97	99	1	43	43.43434343434344	0.618909832644494
98	57	0	20	35.08771929824561	0.11247472925841266
99	32	0	13	40.625	0.4525122046975067
100	18	1	10	55.55555555555556	1.3219280948873624
101	228	1	85	37.280701754385966	0.24951959935931228
102	94	2	38	40.42553191489361	0.4405725913859815
103	93	0	35	37.634408602150536	0.2713020218173943
104	10	0	4	40.0	0.4150374992788437
105	26	1	11	42.30769230769231	0.5525410230287786
106	51	0	19	37.254901960784316	0.24792751344358552
107	13	2	7	53.84615384615385	1.222392421336448
108	0	0	0		
109	5	0	3	60.0	1.584962500721156
110	5	2	3	60.0	1.584962500721156
111	18	0	8	44.44444444444444	0.6780719051126377
112	1	1	1	100.0	1.0
113	2	0	1	50.0	1.0
114	30	1	11	36.666666666666664	0.21150410519371185
115	0	0	0		
116	22	1	9	40.909090909090914	0.4694852833012202
117	1	2	1	100.0	1.0
118	19	0	8	42.10526315789473	0.5405683813627027
119	23	2	12	52.17391304347826	1.1255308820838588
120	266	0	98	36.84210526315789	0.22239242133644802
121	11	2	5	45.45454545454545	0.7369655941662062
122	2	0	2	100.0	2.0
123	871	2	298	34.21354764638347	0.05677719170525679
124	130	0	49	37.69230769230769	0.27485984123058355
125	291	2	120	41.23711340206185	0.48903808072262056
126	30	2	12	40.0	0.4150374992788437
127	69	0	29	42.028985507246375	0.5360529002402097
128	9	0	5	55.55555555555556	1.3219280948873624
129	49	1	24	48.97959183673469	0.9411063109464315
