	count	F	f_count	f_perc	fpi
0	48	1	20	41.66666666666667	0.5145731728297582
1	0	0	0		
2	146	2	57	39.04109589041096	0.3571565831983439
3	287	1	100	34.84320557491289	0.09696172988708811
4	61	1	25	40.98360655737705	0.4739311883324123
5	36	2	13	36.11111111111111	0.17687776208407918
6	9	2	4	44.44444444444444	0.6780719051126377
7	29	1	13	44.827586206896555	0.7004397181410922
8	43	2	17	39.53488372093023	0.3870231231092473
9	13	1	7	53.84615384615385	1.222392421336448
10	58	1	27	46.55172413793103	0.8006911917765933
11	164	2	59	35.97560975609756	0.16839753169571864
12	70	0	29	41.42857142857143	0.5004289905094883
13	1323	2	518	39.15343915343915	0.36396331468457443
14	10	0	6	60.0	1.584962500721156
15	953	1	340	35.67681007345226	0.14964767244692018
16	0	0	0		
17	1	1	1	100.0	1.0
18	146	0	56	38.35616438356164	0.31550182572792945
19	50	1	20	40.0	0.4150374992788437
20	30	0	13	43.333333333333336	0.6129768768907526
21	10	2	6	60.0	1.584962500721156
22	0	0	0		
23	20	0	8	40.0	0.4150374992788437
24	3	2	2	66.66666666666666	2.0
25	26	1	14	53.84615384615385	1.222392421336448
26	13	2	7	53.84615384615385	1.222392421336448
27	315	0	119	37.77777777777778	0.2801079191927352
28	23	0	9	39.130434782608695	0.3625700793847084
29	5	1	2	40.0	0.4150374992788437
30	1	1	1	100.0	1.0
31	40	0	15	37.5	0.2630344058337938
32	68	0	25	36.76470588235294	0.21759143507262685
33	71	0	27	38.028169014084504	0.2954558835261713
34	8	0	5	62.5	1.736965594166206
35	12	1	5	41.66666666666667	0.5145731728297582
36	21	1	9	42.857142857142854	0.5849625007211562
37	234	2	84	35.8974358974359	0.16349873228287956
38	18	0	9	50.0	1.0
39	14	1	5	35.714285714285715	0.15200309344505006
40	12	2	6	50.0	1.0
41	339	2	133	39.233038348082594	0.36878190831797136
42	7	2	4	57.14285714285714	1.4150374992788437
43	74	1	29	39.189189189189186	0.36612789879789753
44	10	1	5	50.0	1.0
45	19	2	9	47.368421052631575	0.84799690655495
46	17	0	7	41.17647058823529	0.48542682717024166
47	50	0	18	36.0	0.16992500144231237
48	6	0	2	33.33333333333333	0.0
49	178	0	65	36.51685393258427	0.2021888506132668
50	124	1	51	41.12903225806452	0.48260078309147836
51	5	2	3	60.0	1.584962500721156
52	225	2	85	37.77777777777778	0.2801079191927352
53	57	2	24	42.10526315789473	0.5405683813627027
54	53	0	26	49.056603773584904	0.9455522159776235
55	6	1	3	50.0	1.0
56	2	1	1	50.0	1.0
57	308	1	111	36.038961038961034	0.17236404689372975
58	168	2	62	36.904761904761905	0.22627585582367601
59	22	0	9	40.909090909090914	0.4694852833012202
60	7	1	4	57.14285714285714	1.4150374992788437
61	2	0	1	50.0	1.0
62	17	1	9	52.94117647058824	1.1699250014423124
63	43	0	19	44.18604651162791	0.6629650127224292
64	31	1	11	35.483870967741936	0.13750352374993502
65	51	2	20	39.21568627450981	0.3677317845004871
66	16	1	7	43.75	0.6374299206152918
67	356	2	122	34.26966292134831	0.060372617979481846
68	10	0	6	60.0	1.584962500721156
69	4	0	3	75.0	2.584962500721156
70	1	2	1	100.0	1.0
71	29	2	15	51.724137931034484	1.0995356735509143
72	96	0	35	36.45833333333333	0.19854567938208012
73	9	1	6	66.66666666666666	2.0
74	16	1	8	50.0	1.0
75	6	1	3	50.0	1.0
76	127	1	47	37.00787401574803	0.2326607567902751
77	0	0	0		
78	5	1	3	60.0	1.584962500721156
79	74	0	30	40.54054054054054	0.44745897697122117
80	8	0	3	37.5	0.2630344058337938
81	14	1	6	42.857142857142854	0.5849625007211562
82	53	0	25	47.16981132075472	0.8365012677171206
83	24	0	11	45.83333333333333	0.7589919004962051
84	59	1	22	37.28813559322034	0.24997825300834758
85	520	1	188	36.15384615384615	0.17954942033071272
86	17	1	12	70.58823529411765	2.263034405833794
87	86	1	33	38.372093023255815	0.3164736647952542
88	336	0	144	42.857142857142854	0.5849625007211562
89	5	1	3	60.0	1.584962500721156
90	5	0	2	40.0	0.4150374992788437
91	121	0	52	42.97520661157025	0.591915261362923
92	35	0	12	34.285714285714285	0.061400544664143276
93	63	1	26	41.269841269841265	0.49098635251214245
94	94	2	44	46.808510638297875	0.8155754288625725
95	20	2	9	45.0	0.7104933828050152
96	12	0	4	33.33333333333333	0.0
97	117	1	55	47.008547008547005	0.8271634031377844
98	77	0	30	38.961038961038966	0.35230174393088126
99	27	1	10	37.03703703703704	0.23446525363702297
100	7	1	4	57.14285714285714	1.4150374992788437
101	312	1	124	39.743589743589745	0.39960745870923775
102	95	2	41	43.15789473684211	0.6026645024546152
103	121	0	45	37.1900826446281	0.24392558288608912
104	5	2	3	60.0	1.584962500721156
105	29	0	15	51.724137931034484	1.0995356735509143
106	54	1	22	40.74074074074074	0.45943161863729726
107	21	0	7	33.33333333333333	0.0
108	1	0	1	100.0	1.0
109	12	2	6	50.0	1.0
110	9	1	4	44.44444444444444	0.6780719051126377
111	23	1	10	43.47826086956522	0.6214883767462702
112	0	0	0		
113	2	1	1	50.0	1.0
114	54	0	20	37.03703703703704	0.23446525363702297
115	0	0	0		
116	23	2	12	52.17391304347826	1.1255308820838588
117	4	1	3	75.0	2.584962500721156
118	35	0	13	37.142857142857146	0.24100809950379498
119	24	1	10	41.66666666666667	0.5145731728297582
120	343	2	123	35.8600583090379	0.16115479181458026
121	10	0	4	40.0	0.4150374992788437
122	8	1	5	62.5	1.736965594166206
123	736	2	252	34.23913043478261	0.05841668622532208
124	166	0	69	41.566265060240966	0.5086116145910413
125	231	2	86	37.22943722943723	0.2463556646871634
126	32	1	13	40.625	0.4525122046975067
127	48	1	22	45.83333333333333	0.7589919004962051
128	6	2	3	50.0	1.0
129	53	2	21	39.62264150943396	0.3923174227787603
130	0	0	0		
131	62	1	23	37.096774193548384	0.23815973719476458
132	33	0	12	36.36363636363637	0.19264507794239583
133	70	0	28	40.0	0.4150374992788437
134	354	1	122	34.463276836158194	0.07275634243531415
135	74	0	27	36.486486486486484	0.20029865048583131
136	5	1	4	80.0	3.0
137	13	1	5	38.46153846153847	0.32192809488736235
138	244	2	84	34.42622950819672	0.07038932789139801
139	11	0	4	36.36363636363637	0.19264507794239583
140	23	2	14	60.86956521739131	1.6374299206152918
141	349	1	131	37.53581661891118	0.2652386767605238
142	23	0	11	47.82608695652174	0.874469117916141
143	32	0	12	37.5	0.2630344058337938
144	568	0	208	36.61971830985916	0.2085866218114173
145	107	1	42	39.25233644859813	0.3699496097503059
146	0	0	0		
147	1	1	1	100.0	1.0
148	11	1	4	36.36363636363637	0.19264507794239583
149	485	0	169	34.845360824742265	0.0970986881050813
150	16	2	8	50.0	1.0
151	41	0	19	46.34146341463415	0.7884958948062882
152	26	0	11	42.30769230769231	0.5525410230287786
153	63	0	23	36.507936507936506	0.20163386116965043
154	361	2	125	34.62603878116344	0.08314123530024588
155	109	0	46	42.201834862385326	0.5462820325570963
156	14	1	5	35.714285714285715	0.15200309344505006
157	7	2	4	57.14285714285714	1.4150374992788437
158	12	1	5	41.66666666666667	0.5145731728297582
159	3	0	2	66.66666666666666	2.0
160	20	0	8	40.0	0.4150374992788437
161	359	1	133	37.04735376044568	0.23510347308600196
162	130	2	60	46.15384615384615	0.777607578663552
163	4	2	2	50.0	1.0
164	26	2	13	50.0	1.0
165	1	1	1	100.0	1.0
166	5	0	2	40.0	0.4150374992788437
167	46	2	19	41.30434782608695	0.493040011280117
168	90	1	33	36.666666666666664	0.21150410519371185
169	59	0	21	35.59322033898305	0.14438990933517493
170	10	1	5	50.0	1.0
171	31	2	14	45.16129032258064	0.7198920808072646
172	27	1	15	55.55555555555556	1.3219280948873624
173	88	2	36	40.909090909090914	0.4694852833012202
174	423	2	150	35.46099290780142	0.13606154957602856
175	4	0	2	50.0	1.0
176	27	1	12	44.44444444444444	0.6780719051126377
177	4	1	3	75.0	2.584962500721156
178	0	0	0		
179	22	0	10	45.45454545454545	0.7369655941662062
180	0	0	0		
181	5	0	3	60.0	1.584962500721156
182	19	0	8	42.10526315789473	0.5405683813627027
183	2	1	2	100.0	2.0
184	5	1	2	40.0	0.4150374992788437
185	32	2	13	40.625	0.4525122046975067
186	48	0	20	41.66666666666667	0.5145731728297582
187	30	0	13	43.333333333333336	0.6129768768907526
188	0	0	0		
189	9	1	4	44.44444444444444	0.6780719051126377
190	24	0	10	41.66666666666667	0.5145731728297582
191	4	1	3	75.0	2.584962500721156
192	1	2	1	100.0	1.0
193	186	2	78	41.935483870967744	0.5305147166987798
194	6	2	3	50.0	1.0
195	5	2	3	60.0	1.584962500721156
196	2	1	1	50.0	1.0
197	1	2	1	100.0	1.0
198	12	1	6	50.0	1.0
199	35	0	16	45.714285714285715	0.7520724865564143
200	4	2	4	100.0	3.0
201	237	0	95	40.08438818565401	0.4201084888262658
202	4	0	2	50.0	1.0
203	222	2	80	36.03603603603604	0.17218097538268035
204	114	0	40	35.08771929824561	0.11247472925841266
205	16	2	7	43.75	0.6374299206152918
206	23	1	9	39.130434782608695	0.3625700793847084
207	1	1	1	100.0	1.0
208	51	0	21	41.17647058823529	0.48542682717024166
209	14	1	6	42.857142857142854	0.5849625007211562
210	10	1	8	80.0	3.0
211	3	0	2	66.66666666666666	2.0
212	16	1	7	43.75	0.6374299206152918
213	154	2	64	41.55844155844156	0.5081469036703252
214	256	0	102	39.84375	0.40563880127659424
215	1	1	1	100.0	1.0
216	89	1	38	42.69662921348314	0.57550217147209
217	2	1	2	100.0	2.0
218	41	1	16	39.02439024390244	0.35614381022527536
219	65	0	31	47.69230769230769	0.8667334691365358
220	17	1	7	41.17647058823529	0.48542682717024166
221	797	1	293	36.762860727728985	0.21747693092233153
222	105	0	43	40.95238095238095	0.4720684443152228
223	20	0	8	40.0	0.4150374992788437
224	66	0	22	33.33333333333333	0.0
225	847	0	300	35.41912632821724	0.13342166770332423
226	17	1	9	52.94117647058824	1.1699250014423124
227	136	2	58	42.64705882352941	0.5725787762653238
228	60	0	25	41.66666666666667	0.5145731728297582
229	21	0	15	71.42857142857143	2.321928094887362
230	19	2	9	47.368421052631575	0.84799690655495
231	0	0	0		
232	50	2	20	40.0	0.4150374992788437
233	0	0	0		
234	0	0	0		
235	41	2	15	36.58536585365854	0.20645087746742624
236	54	1	27	50.0	1.0
237	129	2	46	35.65891472868217	0.14852252471008814
238	25	1	11	44.0	0.6520766965796931
239	4	2	2	50.0	1.0
240	35	2	13	37.142857142857146	0.24100809950379498
241	28	0	11	39.285714285714285	0.3719687773869579
242	16	0	10	62.5	1.736965594166206
243	0	0	0		
244	3	1	2	66.66666666666666	2.0
245	0	0	0		
246	2	0	1	50.0	1.0
247	92	1	37	40.21739130434783	0.42809365210429023
248	28	1	11	39.285714285714285	0.3719687773869579
249	1	0	1	100.0	1.0
250	17	0	7	41.17647058823529	0.48542682717024166
251	69	2	28	40.57971014492754	0.44980291743952056
252	43	0	28	65.11627906976744	1.9004643264490857
253	13	0	8	61.53846153846154	1.6780719051126378
254	36	1	14	38.88888888888889	0.3479233034203068
255	142	2	58	40.845070422535215	0.46566357234881184
256	1	0	1	100.0	1.0
257	51	1	20	39.21568627450981	0.3677317845004871
258	113	0	44	38.93805309734513	0.3509071618591281
259	55	1	23	41.81818181818181	0.5235619560570128
260	9	2	4	44.44444444444444	0.6780719051126377
261	25	0	9	36.0	0.16992500144231237
262	83	1	32	38.55421686746988	0.3275746580285044
263	16	0	7	43.75	0.6374299206152918
264	67	2	26	38.80597014925373	0.3428877135230085
265	11	0	6	54.54545454545454	1.263034405833794
266	34	2	13	38.23529411764706	0.30812229536233193
267	84	1	32	38.095238095238095	0.29956028185890793
268	43	2	22	51.162790697674424	1.067114195858537
269	9	1	6	66.66666666666666	2.0
270	11	1	6	54.54545454545454	1.263034405833794
271	0	0	0		
272	41	0	17	41.46341463414634	0.5025003405291832
273	20	2	10	50.0	1.0
274	18	0	7	38.88888888888889	0.3479233034203068
275	1	2	1	100.0	1.0
276	3	1	2	66.66666666666666	2.0
277	227	1	80	35.24229074889868	0.12225575005099809
278	880	0	307	34.88636363636364	0.09970351661327449
279	298	0	104	34.899328859060404	0.10052687595396444
280	9	1	5	55.55555555555556	1.3219280948873624
281	41	0	19	46.34146341463415	0.7884958948062882
282	205	0	75	36.58536585365854	0.20645087746742624
283	139	2	56	40.28776978417266	0.43231549071067926
284	58	1	24	41.37931034482759	0.49749965947081687
285	389	2	148	38.04627249357326	0.29656402939898824
286	166	0	62	37.34939759036144	0.25375659224578306
287	99	0	35	35.35353535353536	0.12928301694496647
288	50	0	20	40.0	0.4150374992788437
289	139	2	50	35.97122302158273	0.16812275880832706
290	3	2	2	66.66666666666666	2.0
291	3	0	1	33.33333333333333	0.0
292	32	2	12	37.5	0.2630344058337938
293	4	2	2	50.0	1.0
294	4	1	2	50.0	1.0
295	341	2	122	35.77712609970675	0.1559502779617128
296	24	1	10	41.66666666666667	0.5145731728297582
297	178	0	63	35.39325842696629	0.13178987255554112
298	266	2	93	34.962406015037594	0.10453058347130678
299	85	0	31	36.470588235294116	0.19930880822340669
300	9	2	4	44.44444444444444	0.6780719051126377
301	34	0	15	44.11764705882353	0.658963082164933
302	34	0	12	35.294117647058826	0.12553088208385882
303	2	2	2	100.0	2.0
304	125	2	45	36.0	0.16992500144231237
305	136	0	54	39.705882352941174	0.39733549754538494
306	52	0	22	42.30769230769231	0.5525410230287786
307	27	0	12	44.44444444444444	0.6780719051126377
308	6	0	3	50.0	1.0
309	13	0	7	53.84615384615385	1.222392421336448
310	46	1	20	43.47826086956522	0.6214883767462702
311	258	1	102	39.53488372093023	0.3870231231092473
312	565	1	209	36.991150442477874	0.23162570111448513
313	1742	2	602	34.55797933409874	0.07880156770759797
314	61	1	26	42.62295081967213	0.5711567011961257
315	15	0	6	40.0	0.4150374992788437
316	13	0	8	61.53846153846154	1.6780719051126378
317	126	1	55	43.65079365079365	0.6316125940199775
318	3	1	3	100.0	2.584962500721156
319	14	2	8	57.14285714285714	1.4150374992788437
320	62	1	23	37.096774193548384	0.23815973719476458
321	30	0	13	43.333333333333336	0.6129768768907526
322	0	0	0		
323	31	0	15	48.38709677419355	0.9068905956085185
324	10	0	6	60.0	1.584962500721156
325	35	0	14	40.0	0.4150374992788437
326	19	0	8	42.10526315789473	0.5405683813627027
327	237	0	100	42.19409282700422	0.545824106814198
328	13	0	5	38.46153846153847	0.32192809488736235
329	15	0	5	33.33333333333333	0.0
330	15	0	10	66.66666666666666	2.0
331	40	0	18	45.0	0.7104933828050152
332	0	0	0		
333	11	2	6	54.54545454545454	1.263034405833794
334	1	0	1	100.0	1.0
335	58	2	22	37.93103448275862	0.28950661719498505
