	count	period	signal
0	5	3.267515923566879	4.927713739150661
1	12		
2	487	242.25	385.6965276773473
3	302		
4	70	430.0	23.185367115059886
5	105		
6	15	5.395522388059701	8.18774786774876
7	131		
8	120	36.48	31.231880935458037
9	43	98.0	18.35808595531032
10	141		
11	261		
12	103	2.223415682062299	33.49043944280323
13	3074		
14	6	2.7338028169014086	5.733273565057553
15	1473		
16	0		
17	2	2.0036496350364965	2.0
18	260		
19	59	2.645533141210375	22.243438217753994
20	77	2.5611015490533564	25.2907595930507
21	58		
22	0		
23	89		
24	3	3.161870503597122	2.995955966674332
25	37		
26	34	83.33333333333333	16.350279746212216
27	709		
28	41	9.205128205128204	21.37445165658564
29	18	2.788808664259928	11.234772600162467
30	6	4.811881188118812	5.800067591301316
31	91		
32	89		
33	183		
34	12	5.700934579439252	9.782377540486419
35	24	2.589403973509934	12.779031723085152
36	30	2.034669555796316	13.765179335684001
37	576		
38	45	11.084745762711865	17.82078527133496
39	40	3.0173410404624277	23.225162215151478
40	42		
41	924		
42	10	3.642857142857143	7.6843964352931255
43	259		
44	29	10.875	13.289802821609575
45	87		
46	40	4.867403314917127	15.796406862971455
47	100		
48	23	3.6040955631399316	11.473580645379135
49	238		
50	349		
51	13	2.2046783625730995	8.450208107975639
52	512		
53	86	2.709295774647887	30.957541097621675
54	99		
55	16	4.233333333333333	10.058937714962182
56	5	8.577092511013216	4.793441674363357
57	637		
58	256		
59	37		
60	27	2.1894618834080717	14.6619005080175
61	2	2.0008605851979344	2.0
62	49	5.378109452736318	22.415576334347865
63	103		
64	49	3.7921760391198043	17.490236821373966
65	37	9.717703349282298	17.791156610348462
66	67	202.875	28.76926816059714
67	195		
68	33		
69	5	2.125269978401728	4.922910536405457
70	0		
71	67		
72	285		
73	28		
74	37		
75	15		
76	131		
77	2	2.164383561643836	1.9999889947632672
78	15	3.332409972299169	8.677658346363458
79	123		
80	8	8.013157894736842	6.81196796281793
81	46		
82	167		
83	69	50.526315789473685	22.219248329700687
84	80	2.0814432989690723	29.923079364792343
85	793		
86	26	4.235294117647059	15.365811468810396
87	151		
88	589		
89	37	220.0	21.995792541302645
90	38		
91	294		
92	88	431.0	27.669493211425955
93	97		
94	211		
95	25		
96	32	2.8358208955223883	16.92738600295267
97	409		
98	181		
99	62		
100	36	85.0	23.18978541516469
101	655		
102	231	577.0	128.26663231456376
103	232		
104	18	8.629213483146067	11.302401339329863
105	127		
106	128		
107	27		
108	0		
109	41		
110	21	23.865168539325843	14.320254016775479
111	39		
112	2	5.678571428571429	1.999989132902819
113	19		
114	127		
115	2	5.891891891891892	1.9999768541813974
116	40		
117	12	9.0	8.013289827650484
118	56		
119	89		
120	664		
121	46		
122	13	3.985074626865672	8.600887379477328
123	1180		
124	69		
125	578		
126	48	4.298611111111111	20.479738956612138
127	68	3.6486486486486487	21.77273933060222
128	37	3.4364754098360657	16.856782319662447
129	92		
130	0		
131	94		
132	74		
133	162		
134	1712		
135	116	4.785714285714286	44.11251132849214
136	0		
137	17	27.454545454545453	9.56634741978712
138	386		
139	18	30.62686567164179	10.834669370992081
140	87	2.15018315018315	29.5030055269613
141	335		
142	96		
143	97	3.3424657534246576	36.481552489877565
144	1018		
145	339		
146	1	3.11271676300578	1.000000000000001
147	1	4.37956204379562	1.0000000000000002
148	68		
149	1304		
150	33	3.3773987206823026	12.434983510444217
151	62		
152	148		
153	142		
154	747		
155	260		
156	36		
157	25	701.0	13.071606906882373
158	39	43.27777777777778	16.40108132572102
159	5	6.283018867924528	4.882024141080806
160	34	3.155015197568389	16.742574010416273
161	661		
162	241		
163	6	4.274074074074074	5.64785239427199
164	83	3.3960880195599024	24.087017047388233
