	count	period	signal
0	6	12.214285714285714	5.653310144979822
1	15		
2	438	242.25	334.29594254538773
3	412		
4	91	430.0	31.200456365343012
5	59		
6	10	2.0308988764044944	7.388383512116072
7	57		
8	79	114.0	26.83834362955127
9	18	2.2615384615384615	11.894331017244014
10	83	3.0356200527704487	27.82738911327115
11	206		
12	99	258.75	31.589361611342436
13	1666		
14	7	5.231805929919138	5.892031716608026
15	1120		
16	0		
17	1	4.007299270072993	1.0
18	163		
19	116		
20	44	6.920930232558139	19.004039519245744
21	63		
22	0		
23	50		
24	4	3.2676579925650557	3.976386739672404
25	44		
26	16	3.0864197530864197	8.683606212575324
27	411		
28	55		
29	14	2.340909090909091	10.515570969995833
30	0		
31	80	813.0	37.36447567274233
32	38		
33	72		
34	11	4.305882352941176	9.359128688154538
35	16	4.970338983050848	10.11259478548726
36	26		
37	266		
38	23	12.11111111111111	13.106179571971452
39	22	130.5	16.181670371141113
40	20		
41	550		
42	11	2.1494252873563218	7.752236408660238
43	194		
44	14	5.049107142857143	10.565695074349597
45	53		
46	33	881.0	14.522300143255391
47	72	4.0932642487046635	25.239220326323387
48	21	10.56	12.273393138695466
49	149		
50	230		
51	4	11.905263157894737	3.956511717337881
52	292	15.76595744680851	54.36965584468747
53	84	2.704724409448819	29.471205847758743
54	62	3.1533546325878596	21.622244664814463
55	11	2.4216101694915255	8.061476304080744
56	6	2.207482993197279	5.400947445008627
57	368		
58	142		
59	27	2.4495967741935485	13.924714430022611
60	13	5.761061946902655	9.162997151038054
61	1	2.540983606557377	1.0000000000000004
62	36	7.524361948955916	16.61054646581304
63	58		
64	58	14.36111111111111	21.27160574884844
65	32	8.124	15.407200404760143
66	68	324.6	25.051144086526524
67	132		
68	12	2.271767810026385	8.085676336397826
69	1	4.169491525423729	1.0000000000000007
70	1	12.98984771573604	1.000000000000001
71	31		
72	216		
73	7	16.16417910447761	6.126407350924863
74	14		
75	5	2.516981132075472	4.928461422469418
76	158		
77	3	2.1160714285714284	2.995408901689568
78	8	2.3634577603143416	7.031439162959717
79	48	3.196105702364395	22.94186000904668
80	6	14.733870967741936	5.647903728284282
81	29	10.361233480176212	15.636186840464484
82	57		
83	44	12.307692307692308	19.63659109063464
84	35		
85	717		
86	16	11.52	9.226918970311047
87	186		
88	320		
89	24		
90	19	17.444444444444443	12.330025004256237
91	199		
92	46	2.001547987616099	18.0
93	64		
94	81	3.8639240506329116	24.625800230144556
95	15	2.406716417910448	8.871481493825048
96	14	3.9583333333333335	8.629223992678678
97	170		
98	85		
99	21		
100	13		
101	343		
102	134	577.0	71.068070419057
103	116		
104	7	7.111111111111111	6.7029275553155445
105	67		
106	50		
107	25	12.463917525773196	13.66415498629153
108	0		
109	30		
110	18	7.640287769784172	10.783176254121525
111	15		
112	0		
113	2	2.0016	2.0000000000000004
114	96		
115	2	2.23972602739726	1.9999768541813983
116	32	7.173913043478261	14.988996298186736
117	5	4.537190082644628	4.981964900121091
118	30	17.1875	14.080170589175701
119	52	5.925	18.631825196772684
120	397		
121	7	4.177914110429448	6.198442552574673
122	11	2.184049079754601	8.33776520013969
123	785		
124	67		
125	316		
126	33	3.0898502495840265	14.755572246179241
127	59	2.338337182448037	18.588573472150014
128	19	4.520215633423181	11.418411767033097
129	42		
130	0		
131	85		
132	42		
133	89	499.0	28.24394199646379
134	1738		
135	86		
136	2	2.7511682242990654	2.0
137	12	2.0359550561797755	8.226603136357888
138	271		
139	15	6.727868852459016	9.531111102826326
140	67	587.0	33.64752442571757
141	246	1209.75	79.11142329243728
142	39	51.642857142857146	14.269801685640845
143	45		
144	834	1302.0	288.81873863758483
145	98		
146	0		
147	1	3.4482758620689653	1.0000000000000002
148	35	63.214285714285715	14.648315251136024
149	842		
150	16	11.733333333333333	11.634709509178462
151	34	9.819253438113948	15.42636497429499
152	54	2.18348623853211	16.871982914499604
153	78		
154	394		
155	121		
156	7	5.327160493827161	6.519196487828906
157	14	2.672172808132147	10.55798256661938
158	28		
159	0		
160	15	2.6513409961685825	10.556024100991594
161	317		
162	105		
163	6	11.61744966442953	5.704877335012069
164	45	14.935483870967742	17.515111032407685
165	3	70.36363636363636	2.986119476094287
166	0		
167	40		
168	120		
169	58	423.0	22.751768980531363
170	21	10.5375	11.151240341828519
171	53		
172	18	2.1898089171974524	11.001165268624277
173	139		
174	531	805.2	173.1084933336319
175	3	3.4353562005277043	2.9950961667677496
176	30		
177	5	3.9946524064171123	4.983888289721936
178	0		
179	17	2.173758865248227	11.349768235527291
180	0		
181	4	5.0974576271186445	3.8999416150393342
182	32		
183	12	3.8551401869158877	8.471468883792351
184	2	2.0031055900621118	2.0
185	25		
186	45		
187	42		
188	0		
189	8	149.0	6.538176012523965
