	count	F	f_count	f_perc	fpi
0	5	0	2	40.0	0.4150374992788437
1	10	2	4	40.0	0.4150374992788437
2	490	2	203	41.42857142857143	0.5004289905094883
3	455	0	161	35.38461538461539	0.13124453327825272
4	108	2	41	37.96296296296296	0.2914628141603112
5	85	2	33	38.82352941176471	0.3439544012173612
6	12	0	7	58.333333333333336	1.4854268271702415
7	99	1	43	43.43434343434344	0.618909832644494
8	104	1	45	43.269230769230774	0.6092100469678334
9	43	0	17	39.53488372093023	0.3870231231092473
10	146	0	62	42.465753424657535	0.5618788876081149
11	280	1	102	36.42857142857142	0.19669191100509775
12	126	0	51	40.476190476190474	0.44360665147561484
13	2971	2	1064	35.81285762369573	0.15819330718843327
14	11	0	5	45.45454545454545	0.7369655941662062
15	1644	1	591	35.94890510948905	0.16672459915181567
16	0	0	0		
17	1	0	1	100.0	1.0
18	189	0	69	36.507936507936506	0.20163386116965043
19	131	1	47	35.87786259541985	0.1622714288988771
20	52	0	21	40.38461538461539	0.43812111239188495
21	57	2	24	42.10526315789473	0.5405683813627027
22	0	0	0		
23	79	1	27	34.177215189873415	0.05444778402237651
24	7	2	4	57.14285714285714	1.4150374992788437
25	61	1	28	45.90163934426229	0.7629608026991507
26	26	2	11	42.30769230769231	0.5525410230287786
27	601	0	224	37.2712146422629	0.2489342087889398
28	24	1	10	41.66666666666667	0.5145731728297582
29	11	0	5	45.45454545454545	0.7369655941662062
30	2	1	2	100.0	2.0
31	86	0	32	37.2093023255814	0.24511249783653138
32	62	0	21	33.87096774193548	0.03476541816067663
33	99	1	38	38.38383838383838	0.3171901758806993
34	15	1	7	46.666666666666664	0.8073549220576041
35	19	2	10	52.63157894736842	1.15200309344505
36	24	1	10	41.66666666666667	0.5145731728297582
37	425	2	148	34.8235294117647	0.09571119957976157
38	35	0	15	42.857142857142854	0.5849625007211562
39	35	1	14	40.0	0.4150374992788437
40	32	1	12	37.5	0.2630344058337938
41	820	0	292	35.609756097560975	0.14543043952156368
42	12	2	6	50.0	1.0
43	404	1	148	36.633663366336634	0.20945336562894978
44	23	2	9	39.130434782608695	0.3625700793847084
45	76	2	29	38.15789473684211	0.30339214344993476
46	41	0	16	39.02439024390244	0.35614381022527536
47	98	1	39	39.795918367346935	0.40275916950040713
48	17	2	8	47.05882352941176	0.8300749985576875
49	232	2	81	34.91379310344828	0.10144526355954574
50	328	0	130	39.63414634146341	0.39301119294884496
51	9	1	4	44.44444444444444	0.6780719051126377
52	543	1	190	34.99079189686925	0.10633123505976744
53	106	0	45	42.45283018867924	0.5611157587667885
54	116	0	45	38.793103448275865	0.3421059768249927
55	21	0	12	57.14285714285714	1.4150374992788437
56	4	1	2	50.0	1.0
57	674	2	229	33.976261127596445	0.041542262243183685
58	308	0	107	34.74025974025974	0.09041529522221839
59	34	2	16	47.05882352941176	0.8300749985576875
60	16	2	8	50.0	1.0
61	6	1	3	50.0	1.0
62	44	1	18	40.909090909090914	0.4694852833012202
63	72	0	32	44.44444444444444	0.6780719051126377
64	42	2	21	50.0	1.0
65	28	0	12	42.857142857142854	0.5849625007211562
66	58	0	24	41.37931034482759	0.49749965947081687
67	211	0	79	37.44075829383886	0.25938662881864955
68	17	0	8	47.05882352941176	0.8300749985576875
69	5	0	2	40.0	0.4150374992788437
70	0	0	0		
71	63	0	25	39.682539682539684	0.3959286763311393
72	276	1	108	39.130434782608695	0.3625700793847084
73	18	1	8	44.44444444444444	0.6780719051126377
74	25	1	12	48.0	0.8845227825800641
75	7	2	4	57.14285714285714	1.4150374992788437
76	188	0	68	36.17021276595745	0.18057224564182084
77	0	0	0		
78	10	2	4	40.0	0.4150374992788437
79	78	2	37	47.43589743589743	0.8519013610108661
80	8	0	5	62.5	1.736965594166206
81	32	0	15	46.875	0.819427754358179
82	118	2	46	38.983050847457626	0.3536369546147004
83	45	2	18	40.0	0.4150374992788437
84	73	1	30	41.0958904109589	0.4806258409064207
85	854	1	293	34.30913348946136	0.06289989381345518
86	34	1	16	47.05882352941176	0.8300749985576875
87	131	1	61	46.56488549618321	0.8014543206179199
88	580	0	223	38.44827586206897	0.321119635891205
89	19	1	8	42.10526315789473	0.5405683813627027
90	20	0	7	35.0	0.1069152039165119
91	304	0	117	38.48684210526316	0.32347025969576776
92	83	1	31	37.34939759036144	0.25375659224578306
93	91	2	39	42.857142857142854	0.5849625007211562
94	202	2	73	36.13861386138614	0.17859730345676314
95	31	1	13	41.935483870967744	0.5305147166987798
96	29	0	11	37.93103448275862	0.28950661719498505
97	290	1	99	34.13793103448276	0.05192779204386106
98	140	1	56	40.0	0.4150374992788437
99	52	0	22	42.30769230769231	0.5525410230287786
100	16	0	8	50.0	1.0
