	count	F	f_count	f_perc	fpi
0	26	1	10	38.46153846153847	0.32192809488736235
1	6	0	3	50.0	1.0
2	412	2	152	36.89320388349515	0.2255597004151311
3	512	1	199	38.8671875	0.3466057736110306
4	139	1	54	38.84892086330935	0.3454965660257667
5	80	2	37	46.25	0.7831886109268518
6	15	0	10	66.66666666666666	2.0
7	40	2	17	42.5	0.5639008851933265
8	91	0	32	35.16483516483517	0.11735695063815874
9	13	2	6	46.15384615384615	0.777607578663552
10	77	0	33	42.857142857142854	0.5849625007211562
11	192	0	75	39.0625	0.3584539709124765
12	170	1	65	38.23529411764706	0.30812229536233193
13	1273	1	460	36.1351139041634	0.17837850886934747
14	4	0	3	75.0	2.584962500721156
15	1019	1	389	38.17468105986261	0.3044183265989132
16	0	0	0		
17	0	0	0		
18	146	0	49	33.56164383561644	0.014797001928080483
19	95	2	36	37.89473684210527	0.28728195208047125
20	59	0	25	42.3728813559322	0.5563933485243854
21	50	2	32	64.0	1.8300749985576876
22	0	0	0		
23	0	0	0		
24	12	0	5	41.66666666666667	0.5145731728297582
25	44	1	20	45.45454545454545	0.7369655941662062
26	19	0	8	42.10526315789473	0.5405683813627027
27	301	0	113	37.54152823920266	0.26559011073755034
28	20	1	12	60.0	1.584962500721156
29	12	0	5	41.66666666666667	0.5145731728297582
30	2	0	1	50.0	1.0
31	55	0	23	41.81818181818181	0.5235619560570128
32	78	1	28	35.8974358974359	0.16349873228287956
33	92	1	35	38.04347826086957	0.29639300278022485
34	8	0	5	62.5	1.736965594166206
35	12	1	5	41.66666666666667	0.5145731728297582
36	26	1	10	38.46153846153847	0.32192809488736235
37	327	1	125	38.226299694189606	0.3075728019102923
38	19	2	10	52.63157894736842	1.15200309344505
39	19	0	11	57.89473684210527	1.4594316186372973
40	16	0	6	37.5	0.2630344058337938
41	364	1	139	38.18681318681318	0.30515988150647033
42	9	2	5	55.55555555555556	1.3219280948873624
43	116	1	47	40.51724137931034	0.44606439489946836
44	14	1	6	42.857142857142854	0.5849625007211562
45	19	2	9	47.368421052631575	0.84799690655495
46	26	0	10	38.46153846153847	0.32192809488736235
47	76	1	29	38.15789473684211	0.30339214344993476
48	17	2	10	58.82352941176471	1.5145731728297582
49	269	0	95	35.31598513011153	0.12691211248221967
50	234	0	93	39.743589743589745	0.39960745870923775
51	10	2	5	50.0	1.0
52	282	2	95	33.687943262411345	0.022961148443311267
53	88	2	32	36.36363636363637	0.19264507794239583
54	58	2	24	41.37931034482759	0.49749965947081687
55	14	0	7	50.0	1.0
56	3	1	2	66.66666666666666	2.0
57	355	1	129	36.33802816901409	0.19104829300806642
58	174	1	66	37.93103448275862	0.28950661719498505
59	27	1	13	48.148148148148145	0.8930847960834881
60	11	0	5	45.45454545454545	0.7369655941662062
61	1	1	1	100.0	1.0
62	29	1	11	37.93103448275862	0.28950661719498505
63	21	0	10	47.61904761904761	0.8624964762500651
64	59	2	23	38.983050847457626	0.3536369546147004
65	34	2	15	44.11764705882353	0.658963082164933
66	25	0	9	36.0	0.16992500144231237
67	507	0	205	40.433925049309664	0.4410753601803672
68	3	1	2	66.66666666666666	2.0
69	2	0	1	50.0	1.0
70	1	0	1	100.0	1.0
71	56	0	20	35.714285714285715	0.15200309344505006
72	158	1	57	36.075949367088604	0.1746785314129468
73	18	1	11	61.111111111111114	1.6520766965796931
74	15	0	8	53.333333333333336	1.1926450779423958
75	5	0	2	40.0	0.4150374992788437
76	203	0	82	40.39408866995074	0.43868876734348916
77	1	1	1	100.0	1.0
78	11	2	7	63.63636363636363	1.8073549220576042
79	65	1	24	36.92307692307693	0.2274104961030724
80	18	2	8	44.44444444444444	0.6780719051126377
81	29	2	11	37.93103448275862	0.28950661719498505
82	65	1	26	40.0	0.4150374992788437
83	17	1	9	52.94117647058824	1.1699250014423124
84	84	0	36	42.857142857142854	0.5849625007211562
85	790	0	285	36.075949367088604	0.1746785314129468
86	27	1	14	51.85185185185185	1.106915203916512
87	117	0	42	35.8974358974359	0.16349873228287956
88	399	0	181	45.363408521303256	0.731661562306279
89	9	0	4	44.44444444444444	0.6780719051126377
90	11	1	4	36.36363636363637	0.19264507794239583
91	133	0	61	45.86466165413533	0.7608123361205739
92	50	1	20	40.0	0.4150374992788437
93	67	0	24	35.82089552238806	0.15869774601905823
94	125	0	53	42.4	0.5579954531208868
95	22	2	9	40.909090909090914	0.4694852833012202
96	23	0	12	52.17391304347826	1.1255308820838588
97	106	0	46	43.39622641509434	0.6166713604484944
98	95	0	44	46.31578947368421	0.7870062766658017
99	43	0	18	41.86046511627907	0.5260688116675876
100	13	2	6	46.15384615384615	0.777607578663552
101	405	0	154	38.02469135802469	0.2952429867441294
102	132	0	51	38.63636363636363	0.3325753390868709
103	155	1	58	37.41935483870968	0.25806815294044444
104	26	0	10	38.46153846153847	0.32192809488736235
105	38	1	19	50.0	1.0
106	117	0	46	39.31623931623932	0.37381483655233083
107	31	1	15	48.38709677419355	0.9068905956085185
108	0	0	0		
109	24	0	10	41.66666666666667	0.5145731728297582
110	12	0	5	41.66666666666667	0.5145731728297582
